"file","group","model","scorer","mean","median"
"groovy-1_5_7",4,"RF","AUC",0.29,0.29
"groovy-1_5_7",1,"RF","F1",0.33,0.33
"groovy-1_5_7",1,"RF","F1_W",0.33,0.33
"groovy-1_5_7",4,"KNN","MCC",0.21,0.21
"groovy-1_5_7",5,"KNN","LogLoss",0.18,0.18
"groovy-1_5_7",1,"KNN","Gmean",0.31,0.31
"groovy-1_5_7",4,"KNN","ACC",0.21,0.21
"groovy-1_5_7",1,"KNN","BAL_ACC",0.31,0.31
"groovy-1_5_7",5,"KNN","AUC",0.18,0.18
"groovy-1_5_7",2,"KNN","F1",0.25,0.25
"groovy-1_5_7",3,"KNN","F1_W",0.24,0.24
"groovy-1_6_BETA_1",3,"DT","MCC",0.36,0.36
"groovy-1_6_BETA_1",2,"DT","LogLoss",0.37,0.37
"groovy-1_6_BETA_1",3,"DT","Gmean",0.36,0.36
"groovy-1_6_BETA_1",6,"DT","ACC",0.15,0.15
"groovy-1_6_BETA_1",3,"DT","BAL_ACC",0.36,0.36
"groovy-1_6_BETA_1",1,"DT","AUC",0.41,0.41
"groovy-1_6_BETA_1",4,"DT","F1",0.25,0.25
"groovy-1_6_BETA_1",5,"DT","F1_W",0.22,0.22
"groovy-1_6_BETA_1",1,"RF","MCC",0.37,0.37
"groovy-1_6_BETA_1",3,"RF","LogLoss",0.35,0.35
"groovy-1_6_BETA_1",1,"RF","Gmean",0.37,0.37
"groovy-1_6_BETA_1",5,"RF","ACC",0,0
"groovy-1_6_BETA_1",2,"RF","BAL_ACC",0.36,0.36
"groovy-1_6_BETA_1",4,"RF","AUC",0.32,0.32
"groovy-1_6_BETA_1",1,"RF","F1",0.37,0.37
"groovy-1_6_BETA_1",5,"RF","F1_W",0,0
"groovy-1_6_BETA_1",3,"KNN","MCC",0.42,0.42
"groovy-1_6_BETA_1",4,"KNN","LogLoss",0.17,0.17
"groovy-1_6_BETA_1",3,"KNN","Gmean",0.42,0.42
"groovy-1_6_BETA_1",1,"KNN","ACC",0.46,0.46
"groovy-1_6_BETA_1",3,"KNN","BAL_ACC",0.42,0.42
"groovy-1_6_BETA_1",2,"KNN","AUC",0.45,0.45
"groovy-1_6_BETA_1",3,"KNN","F1",0.42,0.42
"groovy-1_6_BETA_1",3,"KNN","F1_W",0.42,0.42
"hbase-0.94.0",1,"DT","MCC",0.33,0.33
"hbase-0.94.0",2,"DT","LogLoss",0.32,0.32
"hbase-0.94.0",3,"DT","Gmean",0.27,0.27
"hbase-0.94.0",1,"DT","ACC",0.33,0.33
"hbase-0.94.0",2,"DT","BAL_ACC",0.32,0.32
"hbase-0.94.0",2,"DT","AUC",0.32,0.32
"hbase-0.94.0",2,"DT","F1",0.32,0.32
"hbase-0.94.0",2,"DT","F1_W",0.32,0.32
"hbase-0.94.0",5,"RF","MCC",0.32,0.32
"hbase-0.94.0",3,"RF","LogLoss",0.34,0.34
"hbase-0.94.0",2,"RF","Gmean",0.36,0.36
"hbase-0.94.0",3,"RF","ACC",0.34,0.34
"hbase-0.94.0",2,"RF","BAL_ACC",0.36,0.36
"hbase-0.94.0",1,"RF","AUC",0.37,0.37
"hbase-0.94.0",5,"RF","F1",0.32,0.32
"hbase-0.94.0",4,"RF","F1_W",0.33,0.33
"hbase-0.94.0",3,"KNN","MCC",0.2,0.2
"hbase-0.94.0",2,"KNN","LogLoss",0.21,0.21
"hbase-0.94.0",4,"KNN","Gmean",0.1,0.1
"hbase-0.94.0",1,"KNN","ACC",0.22,0.22
"hbase-0.94.0",4,"KNN","BAL_ACC",0.1,0.1
"hbase-0.94.0",2,"KNN","AUC",0.21,0.21
"hbase-0.94.0",3,"KNN","F1",0.2,0.2
"hbase-0.94.0",3,"KNN","F1_W",0.2,0.2
"hbase-0.95.0",4,"DT","MCC",0.26,0.26
"hbase-0.95.0",5,"DT","LogLoss",0.16,0.16
"hbase-0.95.0",2,"DT","Gmean",0.28,0.28
"hbase-0.95.0",1,"DT","ACC",0.37,0.37
"hbase-0.95.0",3,"DT","BAL_ACC",0.27,0.27
"hbase-0.95.0",3,"DT","AUC",0.27,0.27
"hbase-0.95.0",3,"DT","F1",0.27,0.27
